File_accession	Biosample_term_name	md5sum
ENCFF332SCG	sigmoid_colon	46c728282f436846dda2e6fd06a05d0f
ENCFF591BAY	sigmoid_colon	615445218c4d845e93fea578a7230422
ENCFF591QAG	sigmoid_colon	4a83f2ec8ed07194aae16fb2125d50b3
ENCFF778VJL	sigmoid_colon	4f04671a6fc6aaf7a1f52ce381e0bbc6
ENCFF997HHO	sigmoid_colon	689b9a5828c53a594c75f6534a324a6c
ENCFF049WJI	sigmoid_colon	c179a0d9c939eefc012267902905f65d
ENCFF189YSM	sigmoid_colon	5e5b640fd3c54d6fc9504d103f1532b7
ENCFF697MUB	sigmoid_colon	685cfcb082f5f5b2f79b59b768af6f59
ENCFF628ARL	sigmoid_colon	ec51ecf40b45a9d87a60f322aff8b669
ENCFF469LGT	sigmoid_colon	66023deb2c6ae471403eb3cf45492a07
ENCFF270JNZ	sigmoid_colon	527acde68e0be423b391318d071243cb
ENCFF059CGX	sigmoid_colon	4fc3625545b1d686dd5b10417684fe64
ENCFF182ZGK	sigmoid_colon	89d7411772c90678fc9ba99ca50841e3
ENCFF287UHP	bigBed_narrowPeak	bigBed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid_colon	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF270JNZ/	6569988	ENCODE_Processing_Pipeline	46f2ae76779da5be7de09b63d5c2ceb9		https://www.encodeproject.org/files/ENCFF287UHP/@@download/ENCFF287UHP.bigBed				released	s3://encode-public/2021/02/25/1b862318-d014-4eeb-9e2b-cf0aafdd7298/ENCFF287UHP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/1b862318-d014-4eeb-9e2b-cf0aafdd7298/ENCFF287UHP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_library_complexity,_moderate_number_of_reproducible_peaks	low_FRiP_score	
ENCFF287UHP	sigmoid_colon	46f2ae76779da5be7de09b63d5c2ceb9
ENCFF521ITF	stomach	64a38bff415be87efc61d2a63dacf8c4
ENCFF346CDZ	stomach	9b138d252f4515d7c6c96034d435e850
ENCFF675QOY	stomach	85e4ba19db10cfa0f75dfd66f5ef0c61
ENCFF368VLY	stomach	ae7151d7a23e1dac715f1edc6ad738d0
ENCFF415RKU	stomach	4248853c99a6b9e3b77159319300b7de
ENCFF281QKD	stomach	8895c38189da3801582c2d83de6c4c0d
ENCFF858TZP	stomach	a9aa1e42082d5d7f74fd99e66be88097
ENCFF872BRQ	stomach	87003ce0162d7b99b76449f8847d601a
ENCFF841ZHA	stomach	486b00b039875f77111f732b6a076554
ENCFF169UCZ	stomach	c16eda067b4881f4fb50bd45a0ddd5e5
ENCFF430VEQ	stomach	bddb3ec0b4551319360b88c13b55fede
ENCFF139JJY	stomach	1c1a319a93127ef097795966d44e0ee3
ENCFF028CAI	stomach	60a1926a8abb58c8943f5a66a9215d62
ENCFF762IFP	bigBed_narrowPeak	bigBed	narrowPeak	pseudoreplicated_peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo_sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF028CAI/	6390157	ENCODE_Processing_Pipeline	f6a97407b6ba4697108e74451fb3eaf4		https://www.encodeproject.org/files/ENCFF762IFP/@@download/ENCFF762IFP.bigBed				released	s3://encode-public/2021/02/25/4c185617-5c6e-48b2-9816-011d22463561/ENCFF762IFP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/4c185617-5c6e-48b2-9816-011d22463561/ENCFF762IFP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4_v1.9.1_GRCh38	released	mild_to_moderate_bottlenecking,_moderate_library_complexity,_moderate_number_of_reproducible_peaks	low_FRiP_score	
ENCFF762IFP	stomach	f6a97407b6ba4697108e74451fb3eaf4
